Year,Species,REGION NO. 57 - INDIAN OCEAN EAST - Andhra- Pradesh,REGION NO. 57 - INDIAN OCEAN EAST - Orissa,REGION NO. 57 - INDIAN OCEAN EAST - Tamil Nadu,REGION NO. 57 - INDIAN OCEAN EAST - West Bengal,REGION NO. 57 - INDIAN OCEAN EAST - Andaman & Nicobar,REGION NO. 57 - INDIAN OCEAN EAST - Pondi- cherry,REGION NO. 57 - INDIAN OCEAN EAST - Total,REGION NO. 51 - INDIAN OCEAN WEST - Gujarat,REGION NO. 51 - INDIAN OCEAN WEST - Karnataka,REGION NO. 51 - INDIAN OCEAN WEST - Kerala,REGION NO. 51 - INDIAN OCEAN WEST - Maharashtra,REGION NO. 51 - INDIAN OCEAN WEST - Goa,REGION NO. 51 - INDIAN OCEAN WEST - Lakshadweep,REGION NO. 51 - INDIAN OCEAN WEST - Daman & Diu,REGION NO. 51 - INDIAN OCEAN WEST - Total,Total for India,Sl. No.,REGION NO. 57 - INDIAN OCEAN EAST - A.P.,REGION NO. 57 - INDIAN OCEAN EAST - T.N.,REGION NO. 57 - INDIAN OCEAN EAST - W.B.,REGION NO. 57 - INDIAN OCEAN EAST - A & N Islands,REGION NO. 57 - INDIAN OCEAN EAST - Puducherry
2010,Cephalopods - (a) Squid & Cuttle Fish,,1173.0,,,,,12781,34715.0,29570.0,14269.0,16315.0,1941.0,50.0,355.0,97215,109996,47,4668.0,6923.0,0.0,17.0,
2010,Cephalopods - (b) Other Molluscs,,75.0,,,,,2994,813.0,0.0,,,,,,813,3807,48,1726.0,0.0,0.0,0.0,1193.0
2010,Thunnus albacares (Yellowfin tuna),,,,,,,1959,4886.0,,,,,1082.0,41.0,6009,7968,49,1778.0,,158.0,23.0,
2010,Thunnus obesus (Bigeye tuna),,,,,,,1004,,389.0,,,,,35.0,424,1428,50,1004.0,,,0.0,
2010,Istiophorus platypterus (Indo-Pacific sailfish),,,,,,,1697,,100.0,,,,86.0,,186,1883,51,1697.0,,,,
2010,Xiphias gladius (Swordfish),,,,,,,3094,,,,,,,,0,3094,52,3038.0,,,56.0,
2010,Panaeus monodon (Giant tiger prawn),,,,,,,5677,,0.0,,,,,,0,5677,53,5677.0,,,,
2010,Panaeus spp (Panaeus shrimps nei),,,,,,,4660,,,,,,,,0,4660,54,4660.0,,,,
2010,Euphausia superba (Antarctic Krill),,,,,,,3191,,,,,,,,0,3191,55,3191.0,,,,
2010,Crustacea (Marine crustaceans),,5.0,,,,,3344,,0.0,,,,,,0,3344,56,1489.0,733.0,,,1117.0
